,gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0,0042400407,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:09 PM EST),period,start,0,0,1
1,0042400407,4,PT12M00.00S,1,1610612760,OKC,1631096,Holmgren,C. Holmgren,0,0,0,,0,,,0,h,Jump Ball Holmgren vs. Turner: Tip to Haliburton,Jump Ball,,1,0,2
2,0042400407,7,PT11M44.00S,1,1610612754,IND,1629614,Nembhard,A. Nembhard,91,106,14,Made,1,0,2,2,v,Nembhard 14' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,1,2,3
3,0042400407,8,PT11M29.00S,1,1610612760,OKC,1631114,Williams,J. Williams,-96,22,10,Missed,1,,,0,h,MISS Jal. Williams 10' Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,2,4
4,0042400407,8,PT11M29.00S,1,1610612754,IND,1630174,Nesmith,A. Nesmith,0,0,0,,0,,,0,v,Nesmith BLOCK (1 BLK),,,1,2,5
5,0042400407,10,PT11M25.00S,1,1610612754,IND,1630174,Nesmith,A. Nesmith,0,0,0,,0,,,0,v,Nesmith REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,6
6,0042400407,11,PT11M17.00S,1,1610612760,OKC,1629652,Dort,L. Dort,0,0,0,,0,,,0,h,Dort P.FOUL (P1.T1) (S.Wright),Foul,Personal,1,0,7
7,0042400407,13,PT11M11.00S,1,1610612754,IND,1626167,Turner,M. Turner,-158,180,24,Missed,1,,,0,v,MISS Turner 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,8
8,0042400407,14,PT11M08.00S,1,1610612760,OKC,1631096,Holmgren,C. Holmgren,0,0,0,,0,,,0,h,Holmgren REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,9
9,0042400407,15,PT10M57.00S,1,1610612760,OKC,1628983,Gilgeous-Alexander,S. Gilgeous-Alexander,70,132,15,Made,1,2,2,4,h,Gilgeous-Alexander 15' Step Back Jump Shot (2 PTS),Made Shot,Step Back Jump shot,1,2,10
10,0042400407,16,PT10M45.00S,1,1610612754,IND,1627783,Siakam,P. Siakam,-125,222,25,Made,1,2,5,7,v,Siakam 25' 3PT Jump Shot (3 PTS) (Nembhard 1 AST),Made Shot,Jump Shot,1,3,11
11,0042400407,18,PT10M17.00S,1,1610612760,OKC,1628983,Gilgeous-Alexander,S. Gilgeous-Alexander,-185,107,21,Missed,1,,,0,h,MISS Gilgeous-Alexander 21' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,12
